group	target	artifact	query	result	subresult	direction	strength	assessment_schema	assessment_basis	assessment_caveats	explanation	reason_frontier	witnesses	supporting_findings	supporting_finding_kinds	supporting_finding_strengths
corpus	boxed_bool__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__df/annotated_icfg_v2.json	double_free_alloc	unk	unk_true	true	observational_candidate	cqpl_result_assessment_v1	contract_basis:rust_box_global_drop;cqpl_three_valued_model_check_v1;evidence:allocation_state_includes_allocated;evidence:may_deallocation_observed;evidence:no_reallocation_between_events;evidence:two_ordered_drops_observed;finding:repeated_drop_without_reallocation;finding_strength:observational_candidate	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__df/double_free_alloc.explain.json	MAY_ALLOCATION;MAY_DEALLOCATION;PATH_JOIN;QUERY_THREE_VALUED_PROPAGATION	1	3	repeated_drop_without_reallocation	observational_candidate
corpus	boxed_bool__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__df/annotated_icfg_v2.json	double_free_alloc_state	unk	unk_true	true	observational_candidate	cqpl_result_assessment_v1	contract_basis:rust_box_global_drop;cqpl_three_valued_model_check_v1;evidence:allocation_state_includes_allocated;evidence:may_deallocation_observed;evidence:no_reallocation_between_events;evidence:two_ordered_drops_observed;finding:repeated_drop_without_reallocation;finding_strength:observational_candidate	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__df/double_free_alloc_state.explain.json	MAY_ALLOCATION;MAY_DEALLOCATION;PATH_JOIN;QUERY_THREE_VALUED_PROPAGATION	1	3	repeated_drop_without_reallocation	observational_candidate
corpus	boxed_bool__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__df/annotated_icfg_v2.json	leak_alloc	unk	unk_unoriented	none	unresolved	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1	no directional supporting or refuting finding is certified beyond the uncertainty frontier;non-directional unresolved-contract candidates do not orient UNKNOWN toward true or false	results/boxed_bool__df/leak_alloc.explain.json	MAY_ALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	0		
corpus	boxed_bool__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__df/annotated_icfg_v2.json	leak_alloc_state	unk	unk_unoriented	none	unresolved	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1	no directional supporting or refuting finding is certified beyond the uncertainty frontier;non-directional unresolved-contract candidates do not orient UNKNOWN toward true or false	results/boxed_bool__df/leak_alloc_state.explain.json	ABSTRACT_TOP_STATE;MAY_ALLOCATION;MAY_DEALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	0		
corpus	boxed_bool__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__ml/annotated_icfg_v2.json	leak_alloc	unk	unk_true	true	strong_abstract_evidence	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1;disposition_basis:rustc_box_into_raw_v1;evidence:no_intervening_call_after_handoff;evidence:no_modeled_discharge_on_witness_path;evidence:non_returning_discharge_observed_off_witness;evidence:normal_return_reachable;evidence:producer_certified_box_into_raw;finding:normal_return_open_manual_obligation;finding_strength:strong_abstract_evidence	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__ml/leak_alloc.explain.json	MAY_ALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	1	normal_return_open_manual_obligation	strong_abstract_evidence
corpus	boxed_bool__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__ml/annotated_icfg_v2.json	leak_alloc_state	unk	unk_true	true	strong_abstract_evidence	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1;disposition_basis:rustc_box_into_raw_v1;evidence:no_intervening_call_after_handoff;evidence:no_modeled_discharge_on_witness_path;evidence:non_returning_discharge_observed_off_witness;evidence:normal_return_reachable;evidence:producer_certified_box_into_raw;finding:normal_return_open_manual_obligation;finding_strength:strong_abstract_evidence	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__ml/leak_alloc_state.explain.json	MAY_ALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	1	normal_return_open_manual_obligation	strong_abstract_evidence
corpus	boxed_bool__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__uaf/annotated_icfg_v2.json	double_free_alloc	unk	unk_true	true	observational_candidate	cqpl_result_assessment_v1	contract_basis:rust_box_global_drop;contract_basis:rust_mem_drop_owned_box_global_v1;cqpl_three_valued_model_check_v1;evidence:allocation_state_includes_allocated;evidence:may_deallocation_observed;evidence:no_reallocation_between_events;evidence:two_ordered_drops_observed;finding:repeated_drop_without_reallocation;finding_strength:observational_candidate	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__uaf/double_free_alloc.explain.json	MAY_ALLOCATION;MAY_DEALLOCATION;PATH_JOIN;QUERY_THREE_VALUED_PROPAGATION	1	1	repeated_drop_without_reallocation	observational_candidate
corpus	boxed_bool__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__uaf/annotated_icfg_v2.json	double_free_alloc_state	unk	unk_true	true	observational_candidate	cqpl_result_assessment_v1	contract_basis:rust_box_global_drop;contract_basis:rust_mem_drop_owned_box_global_v1;cqpl_three_valued_model_check_v1;evidence:allocation_state_includes_allocated;evidence:may_deallocation_observed;evidence:no_reallocation_between_events;evidence:two_ordered_drops_observed;finding:repeated_drop_without_reallocation;finding_strength:observational_candidate	positive supporting evidence does not promote UNKNOWN to true;MAY evidence is never promoted to MUST;unk_false and unk_mixed are reserved until explicit dual refuting evidence is implemented	results/boxed_bool__uaf/double_free_alloc_state.explain.json	MAY_ALLOCATION;MAY_DEALLOCATION;PATH_JOIN;QUERY_THREE_VALUED_PROPAGATION	1	1	repeated_drop_without_reallocation	observational_candidate
corpus	boxed_bool__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__uaf/annotated_icfg_v2.json	leak_alloc	unk	unk_unoriented	none	unresolved	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1	no directional supporting or refuting finding is certified beyond the uncertainty frontier;non-directional unresolved-contract candidates do not orient UNKNOWN toward true or false	results/boxed_bool__uaf/leak_alloc.explain.json	MAY_ALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	0		
corpus	boxed_bool__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260918T162247Z/main/raw/boxed_bool__uaf/annotated_icfg_v2.json	leak_alloc_state	unk	unk_unoriented	none	unresolved	cqpl_result_assessment_v1	cqpl_three_valued_model_check_v1	no directional supporting or refuting finding is certified beyond the uncertainty frontier;non-directional unresolved-contract candidates do not orient UNKNOWN toward true or false	results/boxed_bool__uaf/leak_alloc_state.explain.json	ABSTRACT_TOP_STATE;MAY_ALLOCATION;MAY_DEALLOCATION;QUERY_THREE_VALUED_PROPAGATION	1	0		
