group	target	query	baseline_result	a3_result	source_reference_classes	rationale
corpus	branch_df_mem_leak_ffi	mir_structural_allocator_example	unk	ff	DF,ML,UB_FFI	Typed CString Drop is producer-certified rust_global; the structural query requires allocator mismatch on the same MIR drop node, which is now refuted. Independent C-free mismatch evidence remains conservative elsewhere.
corpus	clean_mul_fn_ffi_no_errors	allocator_mismatch_ub	unk	ff	<none>	Clean oracle; CString allocation and modeled CString Drop are both rust_global, removing the prior unresolved-deallocator mismatch candidate.
corpus	clean_mul_fn_ffi_no_errors	allocator_mismatch_ub_v2	unk	ff	<none>	Clean oracle; producer-certified CString Drop family rust_global matches the CString allocation family, so the v2 mismatch predicate is refuted.
corpus	clean_mul_fn_ffi_no_errors	mir_structural_allocator_example	unk	ff	<none>	Clean oracle; the typed CString MIR drop is rust_global and therefore cannot witness allocator_mismatch_l on that same drop node.
corpus	cstr_cargo_df_ffi	mir_structural_allocator_example	unk	ff	DF,UAF,UB_FFI	Typed CString MIR Drop is rust_global, so the same-node structural mismatch predicate is refuted; the real C-free mismatch and DF/UAF queries remain conservative unknowns.
corpus	cstring_df_only_rust	mir_structural_allocator_example	unk	ff	DF	Pure-Rust CString double-free oracle; both typed CString MIR drops use rust_global, so no same-node allocator-family mismatch exists although the double-free query remains unknown.
corpus	cstringcargo_df_ffi	mir_structural_allocator_example	unk	ff	DF,UB_FFI	Typed CString MIR Drop is rust_global, so the structural same-node mismatch is refuted; independent C-free mismatch evidence remains represented by allocator-mismatch queries.
corpus	for_df_ffi	mir_structural_allocator_example	unk	ff	DF,UB_FFI	The CString MIR drop is now producer-certified rust_global; other typed Vec drops are also rust_global. The structural query therefore has no MIR-drop mismatch witness, while independent FFI UB remains conservative.
corpus	rusant	allocator_mismatch_ub	unk	ff	ML	ML-only oracle; all modeled CString deallocations are typed rust_global drops, eliminating the prior unresolved allocator-mismatch candidate.
corpus	rusant	allocator_mismatch_ub_v2	unk	ff	ML	ML-only oracle; producer-certified CString Drop family matches the rust_global allocation family, refuting the v2 allocator-mismatch predicate.
corpus	rusant	mir_structural_allocator_example	unk	ff	ML	ML-only oracle; typed CString MIR drops are rust_global and therefore do not satisfy allocator_mismatch_l on the same node.
corpus	vuln_only_mem_leak_but_df_branch_overapprox_FFI	mir_structural_allocator_example	unk	ff	DF,ML,UB_FFI	Typed CString MIR drops are rust_global, refuting the same-node structural allocator mismatch; independent C-free/DF/ML behavior remains conservative in their dedicated queries.
