group	target	relative_path	reference_classes	reference_basis	canonical4_crosscheck	status	explained_deviation	conservative_extra_nonrefuting	source_chars	source_evidence	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	boxed_bool__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_bool	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	257	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_bool	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			300	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 1, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 1, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_bool	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	316	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_char__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_char	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	267	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_char	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			301	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_char	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	316	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f32__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_f32	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	261	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_f32	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			304	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_f32	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	327	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f64__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_f64	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	277	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_f64	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			341	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 1, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_f64	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	330	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i128__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i128	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	288	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i128	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			335	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i128	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	355	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i16__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i16	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	317	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i16	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			284	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i16	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	325	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i32__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i32	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	266	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i32	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			280	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i32	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	324	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i64__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i64	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	266	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i64__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i64	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			307	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
